OMICS_ICL103_NS1_7hr_Protein_1_068,OMICS_ICL103_NS1_7hr_Protein_3_030,OMICS_ICL103_NS1_7hr_Protein_3_030.1,OMICS_ICL103_NS1_7hr_Protein_4_010,OMICS_ICL103_NS1_7hr_Protein_5_039,OMICS_ICL103_VN1203_7hr_Protein_1_055,OMICS_ICL103_VN1203_7hr_Protein_2_060,OMICS_ICL103_VN1203_7hr_Protein_4_004,OMICS_ICL103_VN1203_7hr_Protein_4_004.1,OMICS_ICL103_VN1203_7hr_Protein_5_075
AIP,26.897555502402014,26.960969978703787,26.540537092198207,26.70724173585934,26.847760436493914,26.273458612703365,26.640603462282137,26.613333294960537,26.394705496155805,26.521999515637617
AKR1A1,20.604333903185807,20.6525026116464,20.818871125463264,20.66973820816159,20.495807019656613,20.526556965501825,20.571825956978106,21.519394495797144,21.06423399300482,20.880441492959875
AKR1C1,24.596722355678587,24.522962115027084,24.739682977669226,24.823962056213354,24.647441817853878,24.313890290747686,24.71357844687345,24.869566912674635,24.540923776725755,24.692029332073993
AKR1C2,22.56688074832538,22.521851063505267,22.7905935464875,22.461933449911573,22.426745499009485,22.075586691255097,22.71330188446588,22.626564031033226,22.325497261630716,22.71080924029456
AKR1C3,24.404395431911254,24.552688144537633,24.71834880084969,24.437091467852234,24.54273527883063,24.58775711933123,24.638390562839906,25.16245653690095,24.554751314585648,24.52263350449676
AKR1C4,23.09315665190033,22.93745878395222,23.110947427522525,23.07016593493161,22.917334073509718,22.712669531942684,23.165498156044432,23.35014347669872,22.926015764438947,22.710662498624842
ALDH1A2,25.046084876051914,25.458445543620932,25.10884754719048,24.60851413242264,24.916365268349274,25.25925683167231,24.917651734239005,24.874770689726333,24.842341596982344,24.76553533777955
ALDH1A3,23.93239193361625,25.151453190516662,24.83693290347788,24.680668032853767,24.93924557600893,25.67825365730385,25.379124708625895,25.023708370842623,24.318609204048748,24.199716059380485
ALDH7A1,21.8003328433544,22.659425035945922,22.34881041238674,22.07472355416433,21.970995411951947,22.137128697110896,22.03549726462796,22.31428893593865,22.012235286855763,22.05050033196258
ALDH9A1,22.16345998221339,22.39209619936003,22.434700955406534,22.471778119128388,22.44288608222936,22.20850902630363,22.188155184231864,22.2127061473345,22.53089353833228,22.297135058001892
ALB,29.792046870703167,29.810212164097102,30.16190395292927,31.926463800387793,31.474987543134922,29.856304776227457,30.26386409987967,30.07463419450827,32.12792934290778,31.586002752799267
ALDH2,21.042064331775144,21.01938622405773,20.93469791747978,21.56486934779889,21.457283518740958,22.159438775119,20.756394786947737,22.037756157784067,21.109216577881902,21.28644066981169
ALDOA,22.356285456707315,22.220408459466707,22.162978840249416,21.65086410210734,21.422422764509797,21.152905070228236,21.883137795751413,21.569058396498853,21.561517851024373,21.897077209347522
ALDOB,25.076248463191895,24.906904569437106,25.22318029981141,25.270547466160068,24.2199117776836,24.6600026593228,25.297745397264315,25.47995864845501,25.195457778033585,24.665312178664294
ALDOC,24.434665916983718,24.860190038407996,24.588069572039423,25.025147564186703,24.37801243477852,24.73287010044205,24.13782368410259,25.47995864845501,25.371881484112784,24.129706568051752
AKR1B1,25.23225876731685,25.328939104402373,25.16906054999364,25.05770420551503,24.831270816956778,25.26254482808228,25.212241162200733,25.33271195552407,25.13980470155599,24.864203011531288
RNPEP,21.26921158622574,21.62083215054662,21.35745600681271,21.657091337432178,21.326590385948002,22.265642251525456,21.287093973922016,22.18813940497499,21.509123411104227,21.71030221431502
LAP3,21.87215466372768,22.568555768511814,21.45315758929857,22.358515784670075,21.843030975248407,22.076312584516714,22.155511831188036,22.139984053848238,22.313870142604888,20.050502336691746
ANP32A,24.601177707032292,24.318978960976374,24.510258128549378,24.123462567162342,24.751775145836845,24.564396665440032,24.62541821699759,24.554293248006964,24.180160891455266,24.49778916935508
ANP32B,23.681121459390216,23.729084992781626,24.033257708968364,22.945133627698972,22.926709247727704,23.603753478073624,23.14576077983704,23.968836279797195,23.076783043995327,23.926560464915546
ANP32E,22.08389963771264,22.09278339989357,23.064518787740298,22.55784710882687,21.822249399127266,21.99023283222955,22.423642072617895,22.12513919374138,21.839771309632397,22.67615454985409
PRMT1,23.392693195563375,24.1672039605438,24.534848365456874,23.568575770293688,22.95790823196013,23.91885636037236,23.071763452925502,23.69483308949508,23.786045636225264,23.533800534455963
PRMT5,20.879251353827915,21.032650937565485,21.142477264866738,20.60855916846768,20.279679687397362,20.202243324090425,20.828263185837496,20.50472959128734,20.788389448140634,20.41776042232261
