OMICS_ICL103_Mock_18hr_Protein_1_067,OMICS_ICL103_Mock_18hr_Protein_2_098,OMICS_ICL103_Mock_18hr_Protein_3_050,OMICS_ICL103_Mock_18hr_Protein_4_116,OMICS_ICL103_Mock_18hr_Protein_4_116.1,OMICS_ICL103_Mock_18hr_Protein_5_023,OMICS_ICL103_VN1203_18hr_Protein_1_111,OMICS_ICL103_VN1203_18hr_Protein_2_013,OMICS_ICL103_VN1203_18hr_Protein_3_038,OMICS_ICL103_VN1203_18hr_Protein_5_083
AKR1C2,22.420602337621453,22.419293155363487,22.59238064540538,22.655306019502987,22.528318447807777,22.74759748291008,23.451336144823504,22.8686726553185,22.792800309507733,22.49002743364173
AKR1C3,24.486911703058475,24.592495542240876,24.829061434301302,24.801883659447075,24.555203282638214,24.288708287338892,24.98370146584705,25.094789624941058,25.038789074901928,24.317658245828255
AKR1C4,22.886254863509855,23.134816622681548,23.08736214821082,23.42620207549369,22.874969551038184,23.156288544822637,23.551890733130932,23.382704657777744,23.171183722152534,23.03157845661087
ALDH1A2,24.85103444660303,24.371298038805346,24.299864012707587,24.783211609756574,24.54135627291457,24.77446552605676,25.20977425362031,24.925694166180428,24.78749145586322,25.06365425912537
ALDH1A3,24.1250492417716,24.68856830232732,24.796352194985786,24.893067298662988,24.51642291075154,24.778914927215478,24.63108046708019,24.63324289290311,24.537620598761208,24.645214751820955
ALDH1B1,19.283873355103644,18.77265089598893,18.065924268476977,18.956456376779343,19.792878775181556,18.901431143774154,19.2607584576225,19.196681162672512,19.302914309144015,19.06223412297529
ALDH7A1,22.26148363323021,21.96692049418791,22.44293239917075,22.169059045311887,22.149919000163955,22.16653705793916,22.161337119014927,22.285393616863324,22.396657990295246,22.160687137139877
ALDH9A1,22.185046624586327,21.49648643011774,22.114410712431148,22.133247695773505,21.6621632638159,22.172923981150472,22.220908628710756,22.53745347638486,21.66551147242783,21.88351270797621
ALB,29.326680524669573,29.28591751783855,29.27325755571468,29.376893371163877,29.551186697680635,29.288567247346435,29.89887787694651,29.549034290076133,30.312942414223564,30.840416812848577
ALDH2,21.27390816365197,21.505687978666835,21.706617723507357,21.12116043036385,21.923127444865152,21.268148634440905,21.352495074248495,21.12370265668602,20.98702297562236,20.881457633008722
ALDOA,22.459148641217084,21.898088674750447,22.3382916737936,21.58841457875306,21.3433054602669,21.21649842408366,22.244730685477865,21.3700578826262,22.71416308195893,21.76633252709069
ALDOB,24.79028415120341,24.438568526952835,25.014933486491543,24.331199661293088,25.205353139935283,24.168609235047313,24.601483179288568,23.99580354113053,25.25340370865201,24.665711498998135
ALDOC,24.609613582662075,24.56526609895888,24.776652507935314,24.331199661293088,24.848223716952404,24.05154039508286,24.601483179288568,24.257843624484604,25.264152552081654,24.352848688544107
AKR1B1,24.917330455113422,25.15257882027685,25.380221856322056,25.160616086122936,24.745935422910442,23.92592190762662,25.447846263944133,25.010684988040275,25.27210236884119,24.673033431583807
RNPEP,21.41443972686951,21.7192706713881,21.80528496850644,21.667742433730158,21.71881075694354,20.361101105252455,21.82237650367022,21.326264721486506,21.712203658761414,20.639020840921255
LAP3,22.1565905125274,22.137531101695135,21.868228987731232,21.770053317645257,22.70929515322907,22.901433464420123,21.598955765735237,21.636969691500965,22.20294159445033,21.374539583274895
ANP32A,24.286488567740726,24.186907483936515,24.776925113854432,23.95085149025104,24.60109573512604,24.04698011332902,23.75842959655553,24.22461573652903,24.265950156830293,24.336133250282533
